MthCalDt,INDNO,_NAME_,COL1
1952-06-30,1000510,MthTotRet,0.0478323343
1952-07-31,1000510,MthTotRet,0.0191287574
1952-08-29,1000510,MthTotRet,-0.005673726
1952-09-30,1000510,MthTotRet,-0.018085193
1952-10-31,1000510,MthTotRet,0.0003203807
1952-11-28,1000510,MthTotRet,0.0613820473
1952-12-31,1000510,MthTotRet,0.0382146862
1953-01-30,1000510,MthTotRet,-0.006207
1953-02-27,1000510,MthTotRet,-0.007540229
1953-03-31,1000510,MthTotRet,-0.02228799
1953-04-30,1000510,MthTotRet,-0.025307882
1953-05-29,1000510,MthTotRet,0.00740122
1953-06-30,1000510,MthTotRet,-0.013950288
1953-07-31,1000510,MthTotRet,0.0263136444
1953-08-31,1000510,MthTotRet,-0.050100571
1953-09-30,1000510,MthTotRet,0.0021866604
1953-10-30,1000510,MthTotRet,0.0510460363
1953-11-30,1000510,MthTotRet,0.023763477
1953-12-31,1000510,MthTotRet,0.0017134008
1954-01-29,1000510,MthTotRet,0.0534860351
1954-02-26,1000510,MthTotRet,0.012916261
1954-03-31,1000510,MthTotRet,0.030530033
1954-04-30,1000510,MthTotRet,0.0493576287
1954-05-28,1000510,MthTotRet,0.0427771218
1954-06-30,1000510,MthTotRet,0.0024785745
1954-07-30,1000510,MthTotRet,0.0587006986
1954-08-31,1000510,MthTotRet,-0.025894493
1954-09-30,1000510,MthTotRet,0.0825001437
1954-10-29,1000510,MthTotRet,-0.017867185
1954-11-30,1000510,MthTotRet,0.0957738186
1954-12-31,1000510,MthTotRet,0.054288433
1955-01-31,1000510,MthTotRet,0.0180759035
1955-02-28,1000510,MthTotRet,0.0135261769
1955-03-31,1000510,MthTotRet,-0.002242052
1955-04-29,1000510,MthTotRet,0.0398433453
1955-05-31,1000510,MthTotRet,0.0064326746
1955-06-30,1000510,MthTotRet,0.0812999218
1955-07-29,1000510,MthTotRet,0.0576459396
1955-08-31,1000510,MthTotRet,-0.000648143
1955-09-30,1000510,MthTotRet,0.0112860121
1955-10-31,1000510,MthTotRet,-0.030468268
1955-11-30,1000510,MthTotRet,0.0878252156
1955-12-30,1000510,MthTotRet,-0.000309137
1956-01-31,1000510,MthTotRet,-0.035056528
1956-02-29,1000510,MthTotRet,0.0413973709
1956-03-29,1000510,MthTotRet,0.070328152
1956-04-30,1000510,MthTotRet,-0.000636637
1956-05-31,1000510,MthTotRet,-0.05841356
1956-06-29,1000510,MthTotRet,0.0389097295
1956-07-31,1000510,MthTotRet,0.0514273377
1956-08-31,1000510,MthTotRet,-0.032787993
1956-09-28,1000510,MthTotRet,-0.04402242
1956-10-31,1000510,MthTotRet,0.0066193212
1956-11-30,1000510,MthTotRet,-0.001920892
1956-12-31,1000510,MthTotRet,0.036283937
1957-01-31,1000510,MthTotRet,-0.040237506
1957-02-28,1000510,MthTotRet,-0.024919055
1957-03-29,1000510,MthTotRet,0.021845855
1957-04-30,1000510,MthTotRet,0.0465379167
1957-05-31,1000510,MthTotRet,0.0387336743
1957-06-28,1000510,MthTotRet,-0.000706799
1957-07-31,1000510,MthTotRet,0.0097353794
1957-08-30,1000510,MthTotRet,-0.048856658
1957-09-30,1000510,MthTotRet,-0.057879166
1957-10-31,1000510,MthTotRet,-0.03883353
1957-11-29,1000510,MthTotRet,0.0237031471
1957-12-31,1000510,MthTotRet,-0.037414618
1958-01-31,1000510,MthTotRet,0.0457461697
1958-02-28,1000510,MthTotRet,-0.014154151
1958-03-31,1000510,MthTotRet,0.0330508759
1958-04-30,1000510,MthTotRet,0.0335331842
1958-05-29,1000510,MthTotRet,0.0213127578
1958-06-30,1000510,MthTotRet,0.0280806937
1958-07-31,1000510,MthTotRet,0.043960186
1958-08-29,1000510,MthTotRet,0.0179993597
1958-09-30,1000510,MthTotRet,0.0508343141
1958-10-31,1000510,MthTotRet,0.0273697702
1958-11-28,1000510,MthTotRet,0.0286170286
1958-12-31,1000510,MthTotRet,0.0541416615
1959-01-30,1000510,MthTotRet,0.0063306182
1959-02-27,1000510,MthTotRet,0.0068685796
1959-03-31,1000510,MthTotRet,0.0032320475
1959-04-30,1000510,MthTotRet,0.0400665222
1959-05-29,1000510,MthTotRet,0.0236445186
1959-06-30,1000510,MthTotRet,-0.00072531
1959-07-31,1000510,MthTotRet,0.0345045295
1959-08-31,1000510,MthTotRet,-0.011075632
1959-09-30,1000510,MthTotRet,-0.043181561
1959-10-30,1000510,MthTotRet,0.012573815
1959-11-30,1000510,MthTotRet,0.0184859992
1959-12-31,1000510,MthTotRet,0.0296299007
1960-01-29,1000510,MthTotRet,-0.069933378
1960-02-29,1000510,MthTotRet,0.0139212867
1960-03-31,1000510,MthTotRet,-0.012531436
1960-04-29,1000510,MthTotRet,-0.016119138
1960-05-31,1000510,MthTotRet,0.0335132701
1960-06-30,1000510,MthTotRet,0.0218068446
1960-07-29,1000510,MthTotRet,-0.022960305
1960-08-31,1000510,MthTotRet,0.0314666594
1960-09-30,1000510,MthTotRet,-0.058712787
1960-10-31,1000510,MthTotRet,-0.001294127
1960-11-30,1000510,MthTotRet,0.0460809137
1960-12-30,1000510,MthTotRet,0.048904243
1961-01-31,1000510,MthTotRet,0.0640689171
1961-02-28,1000510,MthTotRet,0.0327886442
1961-03-30,1000510,MthTotRet,0.0293448453
1961-04-28,1000510,MthTotRet,0.0046309743
1961-05-31,1000510,MthTotRet,0.0235532591
1961-06-30,1000510,MthTotRet,-0.026682398
1961-07-31,1000510,MthTotRet,0.0337950773
1961-08-31,1000510,MthTotRet,0.0247415942
1961-09-29,1000510,MthTotRet,-0.018704297
1961-10-31,1000510,MthTotRet,0.0282098319
1961-11-30,1000510,MthTotRet,0.0452264357
1961-12-29,1000510,MthTotRet,0.0046908405
1962-01-31,1000510,MthTotRet,-0.037393649
1962-02-28,1000510,MthTotRet,0.0207059472
1962-03-30,1000510,MthTotRet,-0.003842326
1962-04-30,1000510,MthTotRet,-0.061746482
1962-05-31,1000510,MthTotRet,-0.07984653
1962-06-29,1000510,MthTotRet,-0.080668648
1962-07-31,1000510,MthTotRet,0.0652028462
1962-08-31,1000510,MthTotRet,0.0216692585
1962-09-28,1000510,MthTotRet,-0.048870663
1962-10-31,1000510,MthTotRet,0.0085859736
1962-11-30,1000510,MthTotRet,0.1082679442
1962-12-31,1000510,MthTotRet,0.0155340227
1963-01-31,1000510,MthTotRet,0.0503463838
1963-02-28,1000510,MthTotRet,-0.024188554
1963-03-29,1000510,MthTotRet,0.036526523
1963-04-30,1000510,MthTotRet,0.0490703565
1963-05-31,1000510,MthTotRet,0.019674373
1963-06-28,1000510,MthTotRet,-0.018577305
1963-07-31,1000510,MthTotRet,-0.001821279
1963-08-30,1000510,MthTotRet,0.0534470967
1963-09-30,1000510,MthTotRet,-0.010375783
1963-10-31,1000510,MthTotRet,0.0347991399
1963-11-29,1000510,MthTotRet,-0.004487404
1963-12-31,1000510,MthTotRet,0.0260777046
1964-01-31,1000510,MthTotRet,0.0275395558
1964-02-28,1000510,MthTotRet,0.0167881304
1964-03-31,1000510,MthTotRet,0.0172324146
1964-04-30,1000510,MthTotRet,0.0062046679
1964-05-28,1000510,MthTotRet,0.016778643
1964-06-30,1000510,MthTotRet,0.0180838176
1964-07-31,1000510,MthTotRet,0.0189148094
1964-08-31,1000510,MthTotRet,-0.011620874
1964-09-30,1000510,MthTotRet,0.0304175082
1964-10-30,1000510,MthTotRet,0.0088522921
1964-11-30,1000510,MthTotRet,0.0015980866
1964-12-31,1000510,MthTotRet,0.0052283002
1965-01-29,1000510,MthTotRet,0.0347911927
1965-02-26,1000510,MthTotRet,0.0037573422
1965-03-31,1000510,MthTotRet,-0.012248548
1965-04-30,1000510,MthTotRet,0.0356124112
1965-05-28,1000510,MthTotRet,-0.003121756
1965-06-30,1000510,MthTotRet,-0.046792715
1965-07-30,1000510,MthTotRet,0.014486335
1965-08-31,1000510,MthTotRet,0.0275604339
1965-09-30,1000510,MthTotRet,0.0333534327
1965-10-29,1000510,MthTotRet,0.0288306431
1965-11-30,1000510,MthTotRet,-0.003829481
1965-12-31,1000510,MthTotRet,0.0103330182
1966-01-31,1000510,MthTotRet,0.0057041066
1966-02-28,1000510,MthTotRet,-0.012750366
1966-03-31,1000510,MthTotRet,-0.023040915
1966-04-29,1000510,MthTotRet,0.0221577999
1966-05-31,1000510,MthTotRet,-0.049315118
1966-06-30,1000510,MthTotRet,-0.014365707
1966-07-29,1000510,MthTotRet,-0.012128967
1966-08-31,1000510,MthTotRet,-0.071650238
1966-09-30,1000510,MthTotRet,-0.006251674
1966-10-31,1000510,MthTotRet,0.0485380809
1966-11-30,1000510,MthTotRet,0.0112225987
1966-12-30,1000510,MthTotRet,0.000053142
1967-01-31,1000510,MthTotRet,0.0792148816
1967-02-28,1000510,MthTotRet,0.0075619907
1967-03-31,1000510,MthTotRet,0.0411366395
1967-04-28,1000510,MthTotRet,0.0434382656
1967-05-31,1000510,MthTotRet,-0.046774859
1967-06-30,1000510,MthTotRet,0.0193288958
1967-07-31,1000510,MthTotRet,0.0464968782
1967-08-31,1000510,MthTotRet,-0.006847237
1967-09-29,1000510,MthTotRet,0.0337970366
1967-10-31,1000510,MthTotRet,-0.027506878
1967-11-30,1000510,MthTotRet,0.0064906097
1967-12-29,1000510,MthTotRet,0.0270794186
1968-01-31,1000510,MthTotRet,-0.041785423
1968-02-29,1000510,MthTotRet,-0.02686046
1968-03-29,1000510,MthTotRet,0.0096955245
1968-04-30,1000510,MthTotRet,0.0842209953
1968-05-31,1000510,MthTotRet,0.0162689944
1968-06-28,1000510,MthTotRet,0.0099195831
1968-07-30,1000510,MthTotRet,-0.017324219
1968-08-30,1000510,MthTotRet,0.0161035798
1968-09-30,1000510,MthTotRet,0.039283757
1968-10-31,1000510,MthTotRet,0.0085867839
1968-11-29,1000510,MthTotRet,0.053483804
1968-12-31,1000510,MthTotRet,-0.040866351
1969-01-31,1000510,MthTotRet,-0.007639671
1969-02-28,1000510,MthTotRet,-0.042358309
1969-03-28,1000510,MthTotRet,0.0349647722
1969-04-30,1000510,MthTotRet,0.022771077
1969-05-29,1000510,MthTotRet,0.0040205845
1969-06-30,1000510,MthTotRet,-0.054356868
1969-07-31,1000510,MthTotRet,-0.05865562
1969-08-29,1000510,MthTotRet,0.0457325369
1969-09-30,1000510,MthTotRet,-0.023941399
1969-10-31,1000510,MthTotRet,0.0468997491
1969-11-28,1000510,MthTotRet,-0.029152446
1969-12-31,1000510,MthTotRet,-0.016921516
1970-01-30,1000510,MthTotRet,-0.075397756
1970-02-27,1000510,MthTotRet,0.0595207516
1970-03-31,1000510,MthTotRet,0.0027780671
1970-04-30,1000510,MthTotRet,-0.088674477
1970-05-29,1000510,MthTotRet,-0.054688946
1970-06-30,1000510,MthTotRet,-0.04891043
1970-07-31,1000510,MthTotRet,0.0755231839
1970-08-31,1000510,MthTotRet,0.0497095267
1970-09-30,1000510,MthTotRet,0.0347024354
1970-10-30,1000510,MthTotRet,-0.009029142
1970-11-30,1000510,MthTotRet,0.0547772258
1970-12-31,1000510,MthTotRet,0.0586718641
1971-01-29,1000510,MthTotRet,0.0428280597
1971-02-26,1000510,MthTotRet,0.0133166759
1971-03-31,1000510,MthTotRet,0.0391099649
1971-04-30,1000510,MthTotRet,0.0369646421
1971-05-28,1000510,MthTotRet,-0.037149575
1971-06-30,1000510,MthTotRet,0.0024365727
1971-07-30,1000510,MthTotRet,-0.040800273
1971-08-31,1000510,MthTotRet,0.0420254028
1971-09-30,1000510,MthTotRet,-0.005037617
1971-10-29,1000510,MthTotRet,-0.040129416
1971-11-30,1000510,MthTotRet,0.0028984927
1971-12-31,1000510,MthTotRet,0.0878761424
1972-01-31,1000510,MthTotRet,0.0190566842
1972-02-29,1000510,MthTotRet,0.0302287012
1972-03-30,1000510,MthTotRet,0.0073153465
1972-04-28,1000510,MthTotRet,0.005476082
1972-05-31,1000510,MthTotRet,0.0220190951
